               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  83,              1.4377,              2.1211,              2.2148,           0.0012457,            0.028578,           0.0010973,          0.00026314,                   0,                   0,                   0,            0.008524,            0.008524,            0.008524
                  84,              1.3269,              1.9361,              2.0962,           0.0014331,            0.032109,           0.0015295,          0.00039636,                   0,                   0,                   0,            0.008506,            0.008506,            0.008506
                  85,              1.2364,              1.8156,              2.0342,             0.10348,            0.014768,           0.0040708,          0.00091134,                   0,                   0,                   0,            0.008488,            0.008488,            0.008488
                  86,              1.2489,              1.8912,              2.0409,            0.001891,            0.033233,           0.0025736,          0.00057093,                   0,                   0,                   0,             0.00847,             0.00847,             0.00847
                  87,              1.2998,              1.8408,              2.0285,             0.41561,           0.0078692,             0.01061,           0.0021645,                   0,                   0,                   0,            0.008452,            0.008452,            0.008452
                  88,              1.1981,              1.7451,              1.9464,             0.84907,             0.00454,           0.0073414,           0.0013865,                   0,                   0,                   0,            0.008434,            0.008434,            0.008434
                  89,              1.1881,              1.7162,              1.9194,             0.83173,           0.0043668,           0.0052854,          0.00072336,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  90,              1.1721,              1.7433,              1.9143,             0.77687,           0.0043886,           0.0077119,           0.0013168,                   0,                   0,                   0,            0.008398,            0.008398,            0.008398
                  91,              1.1914,              1.6994,               1.908,           0.0015208,            0.032209,           0.0067937,           0.0013388,                   0,                   0,                   0,             0.00838,             0.00838,             0.00838
                  92,              1.1044,              1.5638,              1.8421,             0.65448,           0.0049939,           0.0073915,           0.0015845,                   0,                   0,                   0,            0.008362,            0.008362,            0.008362
                  93,              1.1966,              1.7834,              1.8991,           0.0028341,            0.042677,           0.0043402,           0.0007077,                   0,                   0,                   0,            0.008344,            0.008344,            0.008344
                  94,              1.0588,              1.4659,              1.7732,             0.50048,             0.00474,           0.0042793,          0.00091666,                   0,                   0,                   0,            0.008326,            0.008326,            0.008326
                  95,              1.2022,              1.7223,              1.9122,             0.77535,           0.0048426,           0.0067724,           0.0010339,                   0,                   0,                   0,            0.008308,            0.008308,            0.008308
                  96,              1.1032,              1.6088,              1.8175,           0.0023394,            0.035347,           0.0038754,          0.00067623,                   0,                   0,                   0,             0.00829,             0.00829,             0.00829
                  97,             0.99743,              1.4388,               1.727,           0.0028883,            0.028941,           0.0037953,          0.00059364,                   0,                   0,                   0,            0.008272,            0.008272,            0.008272
                  98,              1.0295,              1.5336,              1.7626,           0.0026664,             0.04298,           0.0038965,          0.00061075,                   0,                   0,                   0,            0.008254,            0.008254,            0.008254
                  99,              1.0102,              1.4487,              1.7065,           0.0027275,            0.030101,           0.0039537,          0.00073088,                   0,                   0,                   0,            0.008236,            0.008236,            0.008236
                 100,              0.9657,              1.3593,              1.6647,            0.001706,            0.019141,           0.0024164,          0.00054321,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                 101,             0.90976,                1.28,              1.6271,             0.91437,           0.0043886,           0.0065471,           0.0012592,                   0,                   0,                   0,              0.0082,              0.0082,              0.0082
                 102,             0.92994,              1.3212,               1.643,             0.89357,           0.0043886,            0.006478,          0.00091181,                   0,                   0,                   0,            0.008182,            0.008182,            0.008182
                 103,             0.96137,              1.4076,              1.6596,           0.0026627,            0.031426,           0.0031367,           0.0008446,                   0,                   0,                   0,            0.008164,            0.008164,            0.008164
                 104,             0.95063,              1.3296,              1.6176,            0.002116,            0.038492,           0.0029724,          0.00090577,                   0,                   0,                   0,            0.008146,            0.008146,            0.008146
                 105,             0.89472,              1.2288,              1.5745,             0.63505,           0.0035051,           0.0054949,           0.0012967,                   0,                   0,                   0,            0.008128,            0.008128,            0.008128
                 106,              0.8667,              1.2575,              1.5605,           0.0030135,            0.034036,           0.0049738,          0.00087136,                   0,                   0,                   0,             0.00811,             0.00811,             0.00811
                 107,             0.87984,               1.218,              1.5613,             0.84444,            0.002724,           0.0054949,           0.0010449,                   0,                   0,                   0,            0.008092,            0.008092,            0.008092
                 108,             0.84117,              1.2362,              1.5347,             0.87661,            0.003632,           0.0055576,           0.0012995,                   0,                   0,                   0,            0.008074,            0.008074,            0.008074
                 109,             0.83368,              1.1867,              1.5207,             0.91249,           0.0024213,           0.0052709,           0.0010883,                   0,                   0,                   0,            0.008056,            0.008056,            0.008056
                 110,              0.8033,              1.1738,              1.4921,           0.0022808,            0.029826,           0.0030257,          0.00075769,                   0,                   0,                   0,            0.008038,            0.008038,            0.008038
                 111,              0.7904,              1.1039,              1.4703,           0.0016863,            0.019203,           0.0027303,           0.0005818,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                 112,             0.78133,              1.0964,              1.4778,             0.60091,           0.0060533,           0.0046312,            0.001077,                   0,                   0,                   0,            0.008002,            0.008002,            0.008002
                 113,             0.77787,              1.1048,              1.4557,             0.65012,           0.0074153,           0.0039352,          0.00097274,                   0,                   0,                   0,            0.007984,            0.007984,            0.007984
                 114,             0.73568,              1.0294,              1.4216,           0.0018038,            0.025586,            0.003988,          0.00086166,                   0,                   0,                   0,            0.007966,            0.007966,            0.007966
                 115,             0.76727,              1.0394,              1.4347,           0.0021681,            0.024313,           0.0059546,          0.00096925,                   0,                   0,                   0,            0.007948,            0.007948,            0.007948
                 116,             0.73589,              1.0167,              1.4212,           0.0019213,            0.023693,           0.0037302,          0.00076298,                   0,                   0,                   0,             0.00793,             0.00793,             0.00793
                 117,             0.70854,             0.98518,              1.3892,           0.0017975,            0.016266,           0.0017326,          0.00051971,                   0,                   0,                   0,            0.007912,            0.007912,            0.007912
                 118,             0.69339,             0.96447,               1.368,           0.0030567,            0.026582,           0.0034623,            0.000841,                   0,                   0,                   0,            0.007894,            0.007894,            0.007894
                 119,             0.72203,             0.99628,              1.4028,           0.0037513,            0.025107,           0.0039101,          0.00080372,                   0,                   0,                   0,            0.007876,            0.007876,            0.007876
